name,men,women,adults,children,employable_men,employable_women,year
АЛ.ГАЙСКИЙ,8098,9041,12795,4344,5444,5298,2010
АРКАДАКСКИЙ,12344,14620,22146,4818,8007,7350,2010
Б.КАРАБУЛАКСКИЙ,15098,17694,26973,5819,9977,9209,2010
БАЛТАЙСКИЙ,5613,6382,9732,2263,3540,3255,2010
ВОСКРЕСЕНСКИЙ,5644,6368,9844,2168,3602,3211,2010
ДЕРГАЧЕВСКИЙ,10716,12327,18265,4778,7154,6714,2010
ДУХОВНИЦКИЙ,6697,7565,11686,2576,4455,3877,2010
ЕКАТЕРИНОВСКИЙ,9469,10775,16159,4085,6249,5565,2010
ЕРШОВСКИЙ,22081,25453,38186,9348,14795,13909,2010
ИВАНТЕЕВСКИЙ,7399,8155,12399,3155,5006,4507,2010
КАЛИНИНСКИЙ,17442,20294,30617,7119,11565,10918,2010
КРАСНОКУТСКИЙ,16172,18540,27788,6924,10939,10229,2010
КРАСНОПАРТИЗАНСКИЙ,8643,9144,14433,3354,6043,5045,2010
ЛЫСОГОРСКИЙ,9656,11072,16751,3977,6372,5721,2010
НОВОБУРАССКИЙ,7805,8856,13333,3328,5182,4876,2010
НОВОУЗЕНСКИЙ,15480,17444,25464,7460,10378,10035,2010
ОЗИНСКИЙ,10496,11653,16877,5272,6953,6653,2010
ПЕРЕЛЮБСКИЙ,8408,8940,13437,3911,5788,5221,2010
ПЕТРОВСКИЙ,20540,25797,38508,7829,13531,13403,2010
ПИТЕРСКИЙ,8685,9620,14556,3749,5954,5425,2010
ПУГАЧЕВСКИЙ,28738,34504,52224,11018,20263,19347,2010
РОВЕНСКИЙ,8521,9440,13914,4047,5718,5334,2010
РОМАНОВСКИЙ,7628,8842,13742,2728,5099,4507,2010
РТИЩЕВСКИЙ,26638,33383,50006,10015,18011,17967,2010
САМОЙЛОВСКИЙ,10205,12007,18067,4145,6669,6240,2010
САРАТОВСКИЙ,22361,25541,39054,8848,15290,13914,2010
СОВЕТСКИЙ,13088,14967,22642,5413,9008,8367,2010
ТАТИЩЕВСКИЙ,13369,14997,22941,5425,9034,8189,2010
п.Светлый,7630,5550,10883,2297,6129,3625,2010
ТУРКОВСКИЙ,6536,7481,11630,2387,4141,3605,2010
ФЕДОРОВСКИЙ,9986,10981,16574,4393,6666,6065,2010
АТКАРСК,19975,24043,36227,7791,13400,12834,2010
БАЛАКОВО(+район),98943,119527,182164,36306,68661,68549,2010
БАЛАШОВ + pайон,56616,67661,106532,17745,39374,37633,2010
ВОЛЬСК+район+Шиханы,47611,55016,84561,18066,32810,29339,2010
КРАСНОАРМЕЙСК,23918,24539,40325,8132,17242,13364,2010
МАРКС,30840,35415,53099,13156,21240,20256,2010
САРАТОВ,367693,459500,702382,124811,255067,258348,2010
ХВАЛЫНСК,11571,13353,20108,4816,7477,6747,2010
ЭНГЕЛЬС + pайон,132679,157316,242431,47564,93505,91632,2010
